name,country,color,sugar,volume,manufacturer,region,grape,year,price
Hans Baer Riesling,Германия,белое,полусухое,0.75 л.,Weinkellerei Hechtsheim,Рейнгессен,рислинг 100%,2022 г.,1 490

Резерв Merci Patrick,Россия,красное,сухое,0.75 л.,Лефкадия,Кубань,мальбек 50%&мерло 16%&сира 15%&пти вердо 12%&саперави 7%,2017 г.,3 490

Beaune,Франция,красное,сухое,0.75 л.,Bouchard Pere & Fils,Бургундия,пино нуар 100%,2017 г.,9 290

Mare & Grill Vinho Verde,Португалия,белое,полусухое,0.75 л.,Quintas das Arcas,Миньо,лоурейро&аринту&тражадура,2022 г.,1 190

Vie di Romans Chardonnay,Италия,белое,сухое,0.75 л.,Vie di Romans,Фриули-Венеция-Джулия,шардоне 100%,2021 г.,8 990

Valpolicella Classico Superiore Ripasso La Casetta,Италия,красное,полусухое,0.75 л.,Domini Veneti,Венето,корвина веронезе&корвиноне&рондинелла,2019 г.,3 990

Malbec La Linda,Аргентина,красное,сухое,0.75 л.,Luigi Bosca,Мендоса,мальбек 100%,2022 г.,1 740

Tenuta Perano Chianti Classico Riserva,Италия,красное,сухое,0.75 л.,Frescobaldi,Тоскана,санджовезе&мерло,2020 г.,5 990

Remole Bianco,Италия,белое,сухое,0.75 л.,Frescobaldi,Тоскана,верментино&треббьяно,2022 г.,1 840

Герцъ,Россия,красное,сухое,0.75 л.,Сикоры,Кубань,каберне совиньон&красностоп&мерло&каберне фран,2019 г.,1 990

Le Rime,Италия,белое,сухое,0.75 л.,Banfi,Тоскана,шардоне&пино гриджио,2022 г.,1 990

Hacienda Lopez de Haro Crianza,Испания,красное,сухое,0.75 л.,Hacienda Lopez de Haro,Риоха,темпранильо&гарнача&грасиано,2019 г.,1 490

Lugana San Benedetto,Италия,белое,полусухое,0.75 л.,Zenato,Венето,треббьяно ди лугана 100%,2022 г.,2 990

Remole Rosso,Италия,красное,полусухое,0.75 л.,Frescobaldi,Тоскана,санджовезе&каберне совиньон,2022 г.,1 840

Riparosso Montepulciano d'Abruzzo,Италия,красное,сухое,0.75 л.,Dino Illuminati,Абруццо,монтепульчано 100%,2021 г.,2 140

Gruner Veltliner Klassik,Австрия,белое,сухое,0.75 л.,Nastl,Нижняя Австрия,грюнер вельтлинер 100%,2022 г.,2 290

Barbera d’Alba,Италия,красное,сухое,0.75 л.,Pio Cesare,Пьемонт,барбера 100%,2021 г.,4 990

Chianti Castiglioni,Италия,красное,сухое,0.75 л.,Frescobaldi,Тоскана,санджовезе&мерло,2022 г.,2 490

Chianti,Италия,красное,сухое,0.75 л.,Banfi,Тоскана,санджовезе&каберне совиньон&канайоло,2022 г.,2 290

Hacienda Lopez de Haro Reserva,Испания,красное,сухое,0.75 л.,Hacienda Lopez de Haro,Риоха,темпранильо&грасиано,2017 г.,2 490

